商品,variant,sku,status,tier,cat,分類,ship_bucket,ship_est,ckb_cost,推定着地原価,cost_source,現価格,新通常価格,備考,PAIR対象,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,通常_倍率,SummerSale10_売価,SummerSale10_粗利額,SummerSale10_粗利率,SummerSale10_限界利益,SummerSale10_BE_ROAS,SummerSale10_CPA上限,SummerSale10_倍率,MB2点_売価,MB2点_粗利額,MB2点_粗利率,MB2点_限界利益,MB2点_BE_ROAS,MB2点_CPA上限,MB2点_倍率,MB3点以上_売価,MB3点以上_粗利額,MB3点以上_粗利率,MB3点以上_限界利益,MB3点以上_BE_ROAS,MB3点以上_CPA上限,MB3点以上_倍率,PAIR15_売価,PAIR15_粗利額,PAIR15_粗利率,PAIR15_限界利益,PAIR15_BE_ROAS,PAIR15_CPA上限,PAIR15_倍率
MORU フラワーラウンジ,アイボリー,f89ed6c7183ca65547d2c2561819369f,ACTIVE,tier-hero,pet-bed,SUMMER_SALE,中型,1750,1381,3131,推定(ckb_cost + ship_est),9980,8980,Owner承認済み,—,8980,5849,65.1%,5526,1.63,3868,2.87,8082,4951,61.3%,4660,1.73,3262,2.58,,,,,,,,,,,,,,,,,,,,,
MORU フラワーラウンジ,オリーブグリーン,476e297375c500bb15ef0aef7f8abb53,ACTIVE,tier-hero,pet-bed,SUMMER_SALE,中型,1750,1381,3131,推定(ckb_cost + ship_est),9980,8980,Owner承認済み,—,8980,5849,65.1%,5526,1.63,3868,2.87,8082,4951,61.3%,4660,1.73,3262,2.58,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,ビッグコンビネーション [稲の耳]-M53,75ab49fe91f8127a9d33ca4f6f82f4c4,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,58980,58980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,グループコンビネーション [スプリングハーベスト]-O21,34036f8d1a6f5bd05389ed4172858aad,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,22980,22980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,グループコンビネーション [チンラン]-I56,6134b4c23d96e190b34ec02a4d2ae408,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,22480,22480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,グループコンビネーション [ムヤン]-R65,197b0e8b7d429973acd263d74989b79c,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,18480,18480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,コンビネーション [メープル]-O43,7aed9956f07f7d6c3d99ab34f4e9d199,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,44480,44480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,グループコンビネーション [メープルリーフ]-N48,1a96be22bfb7f2f7155463a3fc1a4a2b,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,30480,30480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,グループコンビネーション [プレーンスタイル]-O14,01aba7397719c00556a65d49ee19e6b4,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,26980,26980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,白茶色のセラミックオーナメント1組-M17,ec536c2c6e56f150de44b47bcf2a59c2,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,11980,11980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,特殊形状シェルセラミック-A35,747adb5c3a47a7c491a3239ec1294164,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,12980,12980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,ラッキーキャットのペア-O11,cd92d5ec9a58941b12944db9f3cde68d,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,9480,9480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,ノットデコレーション-H38,1bc403c2a05ed4a9bba330ff372bb6ed,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,9480,9480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,コーヒー色のガラスの花瓶-A55,b414e97d924bc272ccfe7c39c6bc037c,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,6980,6980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,白い双頭花瓶-E88,fb4d1081470264108ddbdd5ac726fce9,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,6480,6480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,陶器コーヒーカップ-N66,658f9def757e31b83fefd579954a5238,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,6480,6480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,スティックマンブックストップ-T78,b5e4f2f7e89931a952a531c6d20e7fa1,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,6980,6980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,アインシュタイン原稿-C20,191ce5dc8d92c18f76292b4d245e1d11,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,9480,9480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,シュラグ花瓶-レッドスモール-H63,f95267d75899a7db1cf00e8282954998,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,16980,16980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,シュラグ花瓶-大-Q49,97f04c82685b8f9c9c228ab1f6196a53,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,18480,18480,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,スナグルフラワー花瓶-I72,7ba1fe4c9b7d035d2e77e89cfaec6ca1,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,9980,9980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,マウンテンキャラクターセラミック-F30,2c429cd9ea2d1ca3e5eb14d52d357103,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,6980,6980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アブストラクト オブジェ,ポット型セラミック-K87,78c58ba6410473c63d66a2065a25196d,DRAFT,tier-aov,object,除外_商品構成再設計,小物,800,,原価待ち,原価待ち,4980,4980,価格設計対象外(除外_商品構成再設計),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガラスフラワー オブジェ,ルビー（7点セット）,29d7e8cbcebfab5af9efca0ec2f23682,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),3980,3480,Owner承認済み,P-A,3480,2249,64.6%,2124,1.64,1487,2.83,,,,,,,,3132,1901,60.7%,1788,1.75,1252,2.54,2958,1727,58.4%,1621,1.83,1134,2.40,2958,1727,58.4%,1621,1.83,1134,2.40
ガラスフラワー オブジェ,ブルー（7点セット）,7b370f9a7f74641e87773b8735868386,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),3980,3480,Owner承認済み,P-A,3480,2249,64.6%,2124,1.64,1487,2.83,,,,,,,,3132,1901,60.7%,1788,1.75,1252,2.54,2958,1727,58.4%,1621,1.83,1134,2.40,2958,1727,58.4%,1621,1.83,1134,2.40
ガラスフラワー オブジェ,ピンク（7点セット）,7f19f1a9b72ba25c4af03320b63d2075,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),3980,3480,Owner承認済み,P-A,3480,2249,64.6%,2124,1.64,1487,2.83,,,,,,,,3132,1901,60.7%,1788,1.75,1252,2.54,2958,1727,58.4%,1621,1.83,1134,2.40,2958,1727,58.4%,1621,1.83,1134,2.40
ガラスフラワー オブジェ,ホワイト（7点セット）,4e3ef97bd8e412402af2f47ab63a30e1,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),3980,3480,Owner承認済み,P-A,3480,2249,64.6%,2124,1.64,1487,2.83,,,,,,,,3132,1901,60.7%,1788,1.75,1252,2.54,2958,1727,58.4%,1621,1.83,1134,2.40,2958,1727,58.4%,1621,1.83,1134,2.40
ガラスフラワー オブジェ,アンバー（7点セット）,dab3482fc0695768b2496f0f97c5e4ce,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),3980,3480,Owner承認済み,P-A,3480,2249,64.6%,2124,1.64,1487,2.83,,,,,,,,3132,1901,60.7%,1788,1.75,1252,2.54,2958,1727,58.4%,1621,1.83,1134,2.40,2958,1727,58.4%,1621,1.83,1134,2.40
クラウド サイドテーブル,スターライトブラック（1段）,05570b9a124d02f2d3769d087d12019a,ACTIVE,tier-core,table,SUMMER_SALE,大型,3500,564,4064,推定(ckb_cost + ship_est),12480,11980,Owner承認済み(次回テスト候補 10980),P-6,11980,7916,66.1%,7485,1.60,5239,2.95,10782,6718,62.3%,6330,1.70,4431,2.65,,,,,,,,,,,,,,,10183,6119,60.1%,5752,1.77,4027,2.51
クラウド サイドテーブル,ミルキーホワイト（1段）,5b71a3dc3109a5c3443b343e30aaeb76,ACTIVE,tier-core,table,SUMMER_SALE,大型,3500,564,4064,推定(ckb_cost + ship_est),12480,11980,Owner承認済み(次回テスト候補 10980),P-6,11980,7916,66.1%,7485,1.60,5239,2.95,10782,6718,62.3%,6330,1.70,4431,2.65,,,,,,,,,,,,,,,10183,6119,60.1%,5752,1.77,4027,2.51
クラウド サイドテーブル,ウォールナット（1段）,dc56669e522c1955922bcd9dff5572be,ACTIVE,tier-core,table,SUMMER_SALE,大型,3500,564,4064,推定(ckb_cost + ship_est),12480,11980,Owner承認済み(次回テスト候補 10980),P-6,11980,7916,66.1%,7485,1.60,5239,2.95,10782,6718,62.3%,6330,1.70,4431,2.65,,,,,,,,,,,,,,,10183,6119,60.1%,5752,1.77,4027,2.51
クリアシェード テーブルランプ,充電式・無段階調光 / クローム（クリアシェード）,9c4ed89e3487f9ce5f4c97186b090232,ACTIVE,tier-aov,lighting,SUMMER_SALE,中型,1750,1949,3699,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7281,66.3%,6886,1.59,4820,2.97,9882,6183,62.6%,5827,1.70,4079,2.67,,,,,,,,,,,,,,,,,,,,,
クリアシェード テーブルランプ,充電式・無段階調光 / バーガンディ（クリアシェード）,b809bb70178d3b8681fed393f957dc98,ACTIVE,tier-aov,lighting,SUMMER_SALE,中型,1750,1949,3699,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7281,66.3%,6886,1.59,4820,2.97,9882,6183,62.6%,5827,1.70,4079,2.67,,,,,,,,,,,,,,,,,,,,,
クリアシェード テーブルランプ,充電式・無段階調光 / パールブラック（クリアシェード）,baed95876fcacec127ef858731c7dc04,ACTIVE,tier-aov,lighting,SUMMER_SALE,中型,1750,1949,3699,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7281,66.3%,6886,1.59,4820,2.97,9882,6183,62.6%,5827,1.70,4079,2.67,,,,,,,,,,,,,,,,,,,,,
コイル サイドテーブル,レモンイエロー / 全高45cm（天板径34cm）,ab07dcd0e56eb7ee717e2da9a3ac402d,ACTIVE,tier-brand-builder,table,SUMMER_SALE,大型,3500,7521,11021,推定(ckb_cost + ship_est),33480,31980,Owner承認済み,—,31980,20959,65.5%,19808,1.61,13865,2.90,28782,17761,61.7%,16725,1.72,11707,2.61,,,,,,,,,,,,,,,,,,,,,
コイル サイドテーブル,トゥルーレッド / 全高45cm（天板径34cm）,8c1b2d9a7e72c188d438d40ddf490f56,ACTIVE,tier-brand-builder,table,SUMMER_SALE,大型,3500,7521,11021,推定(ckb_cost + ship_est),33480,31980,Owner承認済み,—,31980,20959,65.5%,19808,1.61,13865,2.90,28782,17761,61.7%,16725,1.72,11707,2.61,,,,,,,,,,,,,,,,,,,,,
コイル サイドテーブル,グリーン / 全高45cm（天板径34cm）,3455466daef0d9268b82871cbe8c210c,ACTIVE,tier-brand-builder,table,SUMMER_SALE,大型,3500,7521,11021,推定(ckb_cost + ship_est),33480,31980,Owner承認済み,—,31980,20959,65.5%,19808,1.61,13865,2.90,28782,17761,61.7%,16725,1.72,11707,2.61,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,ブラウン,cfba35e8e118f16f83ff476952758d2b,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7231,65.9%,6836,1.61,4785,2.93,9882,6133,62.1%,5777,1.71,4044,2.64,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,ピーコックブルー,b2e07986192be22f0732e2deb26a4121,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7231,65.9%,6836,1.61,4785,2.93,9882,6133,62.1%,5777,1.71,4044,2.64,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,オレンジ,b135c1eeb074ce7fa189ada712ece2f9,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7231,65.9%,6836,1.61,4785,2.93,9882,6133,62.1%,5777,1.71,4044,2.64,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,ピンク,c8fb2c55f4618676bee453bed599f9aa,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7231,65.9%,6836,1.61,4785,2.93,9882,6133,62.1%,5777,1.71,4044,2.64,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,オリーブグリーン,e562d7f8143adbced26b8edd39314da9,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),11480,10980,Owner承認済み,—,10980,7231,65.9%,6836,1.61,4785,2.93,9882,6133,62.1%,5777,1.71,4044,2.64,,,,,,,,,,,,,,,,,,,,,
